CHROMATOGRAM
(+)APCI_MOP_channel4_chain_2.raw
Data points: 656
Time,Intensity
0.000202,0
0.003127,0
0.006055,0
0.008998,0
0.011912,0
0.014832,0
0.017780,0
0.020738,0
0.023660,0
0.026595,0
0.029505,0
0.032420,0
0.035347,0
0.038280,29
0.041198,0
0.044120,0
0.047072,0
0.049990,0
0.052925,0
0.055880,0
0.058795,0
0.061715,45
0.064650,0
0.067580,0
0.070493,0
0.073457,0
0.076385,0
0.079335,0
0.082263,41
0.085175,34
0.088108,0
0.091075,0
0.093995,0
0.096918,61
0.099825,0
0.102747,0
0.105680,0
0.108643,0
0.111590,0
0.114505,0
0.117417,0
0.120332,0
0.123248,0
0.126220,0
0.129138,0
0.132068,0
0.135005,0
0.137928,0
0.140867,17
0.143820,0
0.146745,0
0.149670,0
0.152583,0
0.155523,0
0.158428,0
0.161397,0
0.164302,0
0.167218,0
0.170142,0
0.173062,0
0.176038,0
0.178967,0
0.181893,0
0.184822,0
0.187750,0
0.190665,0
0.193570,0
0.196522,0
0.199452,0
0.202382,0
0.205337,0
0.208240,27
0.211153,0
0.214065,0
0.216983,0
0.219918,0
0.222830,0
0.225758,0
0.228672,0
0.231632,0
0.234580,0
0.237497,0
0.240455,0
0.243375,24
0.246313,0
0.249232,0
0.252140,40
0.255052,0
0.257987,0
0.260917,0
0.263843,0
0.266850,0
0.269770,0
0.272685,0
0.275607,0
0.278540,0
0.281452,0
0.284357,0
0.287273,0
0.290205,0
0.293137,0
0.296110,0
0.299030,42
0.301990,0
0.304900,0
0.307833,0
0.310763,0
0.313685,0
0.316612,31
0.319525,0
0.322448,0
0.325423,0
0.328338,45396
0.331245,22425
0.334158,10667
0.337120,5052
0.340052,3076
0.342975,8831
0.345890,62147
0.348817,30699
0.351767,15550
0.354725,8346
0.357650,4721
0.360573,196710
0.363498,121695
0.366427,64922
0.369355,32808
0.372320,16958
0.375240,9192
0.378163,124630
0.381102,68988
0.384020,34322
0.386990,19320
0.389910,9251
0.392827,7824
0.395767,79202
0.398688,43502
0.401613,20886
0.404545,12226
0.407492,6048
0.410418,3334
0.413342,1913
0.416307,880
0.419217,446
0.422128,186
0.425055,136
0.427968,70
0.430885,51
0.433797,33
0.436720,0
0.439638,0
0.442625,0
0.445528,48353
0.448445,26738
0.451373,14099
0.454307,6258
0.457225,3802
0.460140,39709
0.463063,46142
0.465992,22445
0.468933,10271
