CHROMATOGRAM
(+)APCI_MOP_channel4_iso65_chain0.raw
Data points: 945
Time,Intensity
0.000202,0
0.003133,0
0.006050,0
0.008958,0
0.011867,0
0.014840,0
0.017778,0
0.020690,0
0.023617,39
0.026537,0
0.029500,0
0.032432,0
0.035367,0
0.038278,0
0.041182,0
0.044137,0
0.047065,0
0.049975,0
0.052898,0
0.055822,0
0.058758,0
0.061688,0
0.064647,0
0.067565,0
0.070478,0
0.073448,0
0.076388,0
0.079300,0
0.082220,0
0.085150,28
0.088062,0
0.090985,0
0.093898,0
0.096815,0
0.099765,0
0.102728,0
0.105677,0
0.108592,0
0.111500,0
0.114412,0
0.117323,0
0.120240,0
0.123147,0
0.126063,0
0.128983,0
0.131948,0
0.134915,0
0.137832,0
0.140748,0
0.143665,0
0.146587,0
0.149502,0
0.152422,0
0.155348,0
0.158275,0
0.161248,0
0.164173,0
0.167087,0
0.170052,0
0.172975,0
0.175893,7636
0.178820,5245
0.181735,3047
0.184657,1271
0.187570,1422
0.190543,547
0.193465,13102
0.196393,7625
0.199315,4738
0.202232,2187
0.205185,1448
0.208145,2699
0.211075,29247
0.214017,17850
0.216937,8249
0.219917,5087
0.222845,2679
0.225765,22762
0.228687,15612
0.231630,8950
0.234553,5772
0.237473,2828
0.240437,1398
0.243365,15451
0.246287,9396
0.249225,5865
0.252190,2956
0.255103,1713
0.258017,753
0.260928,440
0.263847,305
0.266763,246
0.269678,178
0.272613,0
0.275580,0
0.278497,55
0.281407,0
0.284322,0
0.287298,0
0.290212,0
0.293120,27
0.296050,22
0.298985,13
0.301910,0
0.304835,0
0.307753,0
0.310708,34
0.313672,0
0.316613,3078
0.319545,18828
0.322467,9060
0.325388,3721
0.328305,2175
0.331245,1773
0.334155,775
0.337080,274
0.340008,462
0.342928,124
0.345927,111
0.348842,51
0.351763,150
0.354687,0
0.357598,0
0.360530,18642
0.363457,11505
0.366378,6190
0.369295,2812
0.372205,1879
0.375193,944
0.378110,261
0.381070,0
0.383988,134
0.386910,276
0.389842,42
0.392780,71
0.395700,0
0.398617,43
0.401543,19507
0.404513,10474
0.407450,5686
0.410400,3885
0.413320,2527
0.416287,1052
0.419213,680
0.422135,324
0.425055,281
0.427983,166
0.430930,84
0.433863,21
0.436782,0
0.439695,45
0.442618,19758
0.445538,11801
0.448480,6979
0.451440,4320
0.454353,2004
0.457287,1056
0.460250,757
0.463185,388
0.466113,335
0.469023,109
0.471932,97
0.474870,46
0.477803,34
0.480738,0
0.483663,0
0.486647,0
0.489580,0
0.492540,0
0.495467,0
0.498372,0
0.501297,0
0.504230,0
0.507158,33
0.510082,0
0.513008,0
0.515938,0
0.518868,0
0.521887,26
0.524805,0
0.527725,0
0.530652,0
0.533572,17
0.536500,37
0.539423,0
0.542347,0
0.545265,0
0.548193,0
0.551160,16333
0.554080,10137
0.557050,5906
0.559968,3100
0.562903,1983
0.565853,1006
0.568792,436
0.571730,135
0.574662,242
0.577592,91
