fingerprint,proton_affinity,yield
4P///wAIAAAIAAAAeQNNAi5WlQLlA9qhAEkE,,0.1
4P///wAIAAANAAAA/QI8XQBNAHEAjEUBfqUAcr5FAvS5AA==,,0.12
4P///wAIAAAKAAAAoFUBbgkAoQA9AOJRAIkEyQQhAA==,,0.09
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,,0.08
4P///wAIAAAHAAAAPQEVAtEATQLKNQNNAmUE,,0.14
4P///wAIAAAKAAAAPQFBAOjRANUEVt0BxQP0lMY=,,0.1
4P///wAIAAAKAAAAoFUBEQA8/QA9ABkCHQEOFQghAA==,,0
4P///wAIAAALAAAArQSFAHhZBDzBAOTRAgB29LkA,,0
4P///wAIAAAHAAAAKQgRAZxmYgULHKkA,,0
4P///wAIAAAGAAAAQQiCoQJK7QGNB/w=,,0
4P///wAIAAAHAAAAQQg1ArgQoQK1Bcr8,,0.03
4P///wAIAAAHAAAAQQg1ArgQoQK1Bcr8,,0.1
4P///wAIAAANAAAAoAED+QFK1jq6GpxpAzD1AVUC+A==,,0.07
4P///wAIAAAMAAAAmQWNAHEAjEUBfo0BCNUB7PRWCQA=,,0
4P///wAIAAAJAAAAnQqMKDS4EPaxANECdQQ=,,0
4P///wAIAAAJAAAApQl6oGkCQQGYQQBNAPS5AA==,,0
4P///wAIAAAIAAAAoDUAjskAAQMY5QFVCyEA,,0
4P///wAIAAAIAAAAoFUBzQXpAJbicQiMIQA=,,0
4P///wAIAAALAAAA6QM9Ak0CELg4BCyc3g0HBQE=,,0
4P///wAIAAAHAAAA4QsdAaRBAZiRAvS5AA==,,0
4P///wAIAAAHAAAApQl6YQKNAnUBTQD0uQA=,,0
