fingerprint,proton_affinity,yield
4P///wAIAAAEAAAAeQOtAlZ9CKUI,,0.05
4P///wAIAAAGAAAAeQOtAnEAYQONAbEFuQA=,,0.14
4P///wAIAAADAAAAeQOtAlkEeQ0=,,0.03
4P///wAIAAADAAAAPQHpBE0ChQ8=,,0.07
4P///wAIAAAEAAAAPQHpBGUJsQW5AA==,,0.01
4P///wAIAAAEAAAAoGkDeQFZBHkN,,0
4P///wAIAAAEAAAArQR5AWUJsQW5AA==,,0
4P///wAIAAAFAAAArQR5AVkECQOxBbkA,,0
4P///wAIAAADAAAAKQgRAZyFDw==,,0.36
4P///wAIAAAFAAAAQQhKnQG4aQOlCA==,,0
4P///wAIAAADAAAAQQipA0p5DQ==,,0
4P///wAIAAADAAAAQQg1ArgRDg==,,0
4P///wAIAAAGAAAAoP0GSp0BuGkDpQg=,,0
4P///wAIAAAFAAAAKQhxAGEDjQGxBbkA,,0.29
4P///wAIAAAEAAAAnQrsuBEA/Qs=,,1
4P///wAIAAAEAAAAnQqtA0EBsQW5AA==,,1
4P///wAIAAADAAAATRBBAbEFuQA=,,1
4P///wAIAAADAAAAnQrxBrEFuQA=,,3
4P///wAIAAADAAAAoFkJ5QF5DQ==,,0
4P///wAIAAADAAAAoEEN4rEL,,1
4P///wAIAAADAAAAKQhxAqUMuQA=,,0
